date,quant
2017,261161384489
2018,312735353341
2019,305897834388
2020,350845066211
2012,192967176584
2013,232078243157
2014,218520292429
2015,230657123275
2016,227616904239
2007,128663579222
2008,130582773788
2009,120751043445
2010,158009698431
2011,171142150713
2002,26374477232
2003,41833573279
2004,61707150060
2005,82202156004
2006,107152498819
1996,2724819069
1997,3641694356
1998,4879282176
1999,7923755336
2000,13799838535
2001,16998265634
1992,863027624
1993,1165369392
1994,1633993189
1995,2365599377
