date,Partner,quant
2007,Japan,2217668451
2007,USA,2059054320
2008,Japan,2361864922
2008,USA,1530486753
2009,Japan,1556412421
2010,Germany,1380987574
2010,Japan,4339112398
2010,USA,2255805834
2011,Germany,2514745781
2011,Japan,5899416172
2011,Netherlands,1060272823
2011,"Other Asia, nes",1154973481
2011,Rep. of Korea,1583923610
2011,Switzerland,1425934822
2011,USA,2455046434
2012,Japan,2588604687
2012,USA,1133680820
2013,Japan,3061215130
2013,Rep. of Korea,1747145409
2013,USA,1070705331
2014,Japan,3482623968
2014,"Other Asia, nes",1102951809
2014,Rep. of Korea,2406526893
2014,USA,2007611172
2015,Japan,4108507077
2015,"Other Asia, nes",1156670527
2015,Rep. of Korea,2926801074
2015,USA,2285556221
2016,Japan,4980458751
2016,"Other Asia, nes",1123170859
2016,Rep. of Korea,2401424972
2016,Singapore,1382303560
2016,USA,2491458553
2017,Japan,7108157567
2017,Netherlands,1072110080
2017,"Other Asia, nes",2243817164
2017,Rep. of Korea,3798587224
2017,Singapore,1429570983
2017,USA,2931676870
2018,Japan,10657697877
2018,Netherlands,2527315103
2018,"Other Asia, nes",2897038367
2018,Rep. of Korea,6571747427
2018,Singapore,2418264894
2018,USA,4492951829
2019,Japan,9182147241
2019,Netherlands,1688388598
2019,"Other Asia, nes",2627114315
2019,Rep. of Korea,5439801268
2019,Singapore,2167177696
2019,USA,4641601618
2020,Japan,10024983866
2020,Netherlands,2802786506
2020,"Other Asia, nes",2813682438
2020,Rep. of Korea,6083879263
2020,Singapore,3178219762
2020,USA,5846373253
2006,World,1125960048
2007,World,6722943196
2008,World,6972223764
2009,World,5228973799
2010,World,12728950933
2011,World,18435930878
2012,World,7964069660
2013,World,9122348976
2014,World,12150657774
2015,World,13284121039
2016,World,15047428288
2017,World,20821423456
2018,World,32522854432
2019,World,28502720773
2020,World,33980524229
